AmountDer,AmountOfSecurityOwnedDer,CIKDer,Company,ConversionExercisePrice,ExpirationDate,OwnershipFormDer,PriceDer,SecuritiesAcquired,SecuritiesDisposed,Ticker,TitleOfSecurityDer,TitleofDerivativeSecurity,TransactionCodeDer,TransactionDateDer
"75,000","75,000",1098972,AGENUS INC,4.12,12/24/2029,D,0,"75,000",,AGEN,Common Stock,,A,12/24/2019
"99,000",66,1067983,BERKSHIRE HATHAWAY INC,,,D,,,,BRK.A,Class B Common Stock,Class A Common Stock,,
"181,500",121,1067983,BERKSHIRE HATHAWAY INC,,,I,,,,BRK.A,Class B Common Stock,Class A Common Stock,,
"195,000",130,1067983,BERKSHIRE HATHAWAY INC,,,I,,,,BRK.A,Class B Common Stock,Class A Common Stock,,
659,"38,689",842023,BIO-TECHNE Corp,67.46,4/1/2020,D,0,,659,TECH,Common Stock,Stock Options (Right to Buy),M,12/23/2019
471,"38,218",842023,BIO-TECHNE Corp,67.46,4/1/2020,D,0,,471,TECH,Common Stock,Stock Options (Right to Buy),M,12/24/2019
"46,316","46,316",842023,BIO-TECHNE Corp,86.25,4/1/2021,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"66,849","66,849",842023,BIO-TECHNE Corp,94.35,8/12/2021,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"95,346","95,346",842023,BIO-TECHNE Corp,108.49,8/7/2022,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"79,517","79,517",842023,BIO-TECHNE Corp,108.49,8/7/2022,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"154,169","154,169",842023,BIO-TECHNE Corp,106.59,8/18/2023,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"102,779","102,779",842023,BIO-TECHNE Corp,106.59,8/18/2023,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"21,291","21,291",842023,BIO-TECHNE Corp,,,D,,,,TECH,Common Stock,Restricted Stock Units,,
"117,342","117,342",842023,BIO-TECHNE Corp,125.05,8/9/2024,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"78,228","78,228",842023,BIO-TECHNE Corp,125.05,8/9/2024,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"16,918","16,918",842023,BIO-TECHNE Corp,,,D,,,,TECH,Common Stock,Restricted Stock Units,,
"90,334","90,334",842023,BIO-TECHNE Corp,177.32,8/8/2025,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"60,222","60,222",842023,BIO-TECHNE Corp,177.32,8/8/2025,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"16,937","16,937",842023,BIO-TECHNE Corp,,,D,,,,TECH,Common Stock,Restricted Stock Units,,
"85,725","85,725",842023,BIO-TECHNE Corp,190.41,8/7/2026,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"57,150","57,150",842023,BIO-TECHNE Corp,190.41,8/7/2026,D,,,,TECH,Common Stock,Stock Options (Right to Buy),,
"2,500","22,613",834365,BIOLIFE SOLUTIONS INC,1.64,12/20/2021,D,0,,"2,500",BLFS,Common Stock,Employee Stock Option,M,12/24/2019
"2,500","20,113",834365,BIOLIFE SOLUTIONS INC,1.64,12/20/2021,D,0,,"2,500",BLFS,Common Stock,Employee Stock Option,M,12/26/2019
"2,500","17,613",834365,BIOLIFE SOLUTIONS INC,1.64,12/20/2021,D,0,,"2,500",BLFS,Common Stock,Employee Stock Option,M,12/27/2019
"75,000","75,000",1383313,AGENUS INC,4.12,12/24/2029,D,0,"75,000",,AGEN,Common Stock,Stock Option (Right to buy),A,12/24/2019
"20,000","660,000",1737521,SMARTSHEET INC,2.72,10/27/2026,D,0,,"20,000",SMAR,Class A Common Stock,Stock Option (right to buy Class A Common Stock),M,12/26/2019
"35,599","284,794",1595111,"Eloxx Pharmaceuticals, Inc.",,,D,0,,"35,599",ELOX,Common Stock,Restricted Stock Units,M,12/26/2019
"819,672","819,672",1399122,CytoDyn Inc.,0.3,12/23/2024,I,,"819,672",,CYDY,Common Stock,Warrants (right to buy),A,12/23/2019
"40,000",0,1195344,WEYCO GROUP INC,28.5,12/2/2019,D,28.5,,"40,000",WEYS,Common Stock,Stock Option,H,12/2/2019
"40,000","40,000",1195344,WEYCO GROUP INC,27.04,8/26/2020,D,,,,WEYS,Common Stock,Stock Option,,
"32,000","32,000",1195344,WEYCO GROUP INC,25.64,8/25/2021,D,,,,WEYS,Common Stock,Stock Option,,
"32,000","32,000",1195344,WEYCO GROUP INC,25.51,8/25/2022,D,,,,WEYS,Common Stock,Stock Option,,
"15,000","15,000",1195344,WEYCO GROUP INC,27.94,8/25/2027,D,,,,WEYS,Common Stock,Stock Option,,
"8,000","8,000",1195344,WEYCO GROUP INC,37.22,8/23/2028,D,,,,WEYS,Common Stock,Stock Option,,
"10,000","10,000",1195344,WEYCO GROUP INC,23.38,8/14/2029,D,,,,WEYS,Common Stock,Stock Option,,
"40,000",0,106532,WEYCO GROUP INC,28.5,12/2/2019,D,28.5,,"40,000",WEYS,Common Stock,Stock Option,H,12/2/2019
"40,000","40,000",106532,WEYCO GROUP INC,27.04,8/26/2020,D,,,,WEYS,Common Stock,Stock Option,,
"32,000","32,000",106532,WEYCO GROUP INC,25.64,8/25/2021,D,,,,WEYS,Common Stock,Stock Option,,
"32,000","32,000",106532,WEYCO GROUP INC,25.51,8/25/2022,D,,,,WEYS,Common Stock,Stock Option,,
