Amount,AmountOfSecurityOwned,CIK,Company,OwnershipForm,Price,SecuritiesAcquirednDisposed,Ticker,TitleOfSecurity,TransactionCode,TransactionDate
"2,690","1,793,621",12208,"BIO-RAD LABORATORIES, INC.",I,0,D,"BIO, BIOB",Bio-Rad A Common Stock,G,12/03/2019
,90,12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
,240,12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
,"898,931",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
,"34,311",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
240,"438,680",12208,"BIO-RAD LABORATORIES, INC.",I,0,D,"BIO, BIOB",Bio-Rad B Common Stock,G,12/03/2019
,"57,000",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad B Common Stock,,
,"4,060,054",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad B Common Stock,,
,150,1067983,BERKSHIRE HATHAWAY INC,I,,,BRK.A,Class B Common Stock,,
,"197,695",1067983,BERKSHIRE HATHAWAY INC,I,,,BRK.A,Class B Common Stock,,
9,697,1067983,BERKSHIRE HATHAWAY INC,D,,D,BRK.A,Class B Common Stock,G,12/27/2019
,"1,818.0335",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad A Common Stock,,
,"362,146",12208,"BIO-RAD LABORATORIES, INC.",D,,,"BIO, BIOB",Bio-Rad A Common Stock,,
40,"25,039",12208,"BIO-RAD LABORATORIES, INC.",D,0,A,"BIO, BIOB",Bio-Rad B Common Stock,G,12/03/2019
40,"12,811",12208,"BIO-RAD LABORATORIES, INC.",I,0,A,"BIO, BIOB",Bio-Rad B Common Stock,G,12/03/2019
,"4,060,054",12208,"BIO-RAD LABORATORIES, INC.",I,,,"BIO, BIOB",Bio-Rad B Common Stock,,
659,"130,648",842023,BIO-TECHNE Corp,D,67.46,A,TECH,Common Stock,M,12/23/2019
659,"129,989",842023,BIO-TECHNE Corp,D,222.0802,D,TECH,Common Stock,S,12/23/2019
471,"130,460",842023,BIO-TECHNE Corp,D,67.46,A,TECH,Common Stock,M,12/24/2019
471,"129,989",842023,BIO-TECHNE Corp,D,222.1834,D,TECH,Common Stock,S,12/24/2019
,100,842023,BIO-TECHNE Corp,I,,,TECH,Common Stock,,
,100,842023,BIO-TECHNE Corp,I,,,TECH,Common Stock,,
498,"710,823",842717,"BLUE RIDGE BANKSHARES, INC.",D,20.65,A,BRBS,Common Stock,P,12/24/2019
"2,002","712,825",842717,"BLUE RIDGE BANKSHARES, INC.",D,20.71,A,BRBS,Common Stock,P,12/24/2019
